,Date,Open,High,Low,Close,Volume,WMA,DEMA,ADX.DIp,ADX.DIn,ADX.DX,ADX.ADX,MACD.macd,MACD.signal,CCI,MO,RSI,ATR.tr,ATR.atr,ATR.trueHigh,ATR.trueLow,CLV,CMF,CMO,EMV.emv,EMV.maEMV,MFI,ROC,VHF,SAR,TRIX.TRIX,TRIX.signal,WPR,SNR
1709,2019-04-23,1113.99,1117.15,1110.61,1111.33,872000000.0,1105.26,1110.63,24.66,14.81,24.95,16.86,0.574,0.451,97.3,23.92,70.56,6.54,8.78,1117.15,1110.61,-0.78,0.0141,46.86,-0.00024,0.000183,63.66,-0.00153,0.3998892,1107.22,-0.0242,-0.00593,0.32164,1.97841
1710,2019-04-24,1114.28,1116.5,1109.29,1113.76,926000000.0,1106.53,1111.88,23.2,15.02,21.4,17.18,0.581,0.477,87.7,14.91,74.26,7.21,8.67,1116.5,1109.29,0.24,-0.0246,44.69,-7.67e-05,9.34e-05,63.31,0.00218,0.3926461,1109.29,-0.0199,-0.0101,0.24197,2.13467
1711,2019-04-25,1113.17,1116.96,1110.86,1112.93,631000000.0,1107.65,1112.77,22.39,14.25,22.23,17.54,0.574,0.496,83.4,29.88,71.42,6.1,8.49,1116.96,1110.86,-0.321,-0.0277,33.9,9.82e-05,7.13e-05,62.79,-0.000746,0.4215138,1109.29,-0.0142,-0.0135,0.26918,0.93995
1712,2019-04-26,1112.74,1113.63,1104.35,1107.88,853000000.0,1108.14,1112.58,20.66,18.59,5.28,16.67,0.525,0.502,40.3,19.41,54.45,9.28,8.54,1113.63,1104.35,-0.239,-0.0692,22.95,-0.000535,2.31e-05,63.76,-0.00455,0.4109845,1121.14,-0.00751,-0.0161,0.43475,0.11388
1713,2019-04-29,1106.03,1108.96,1103.42,1106.62,1050000000.0,1108.43,1112.16,19.68,18.5,3.08,15.7,0.472,0.496,14.3,21.16,50.52,5.54,8.33,1108.96,1103.42,0.155,-0.062,30.93,-0.000148,2.24e-05,62.44,-0.00114,0.431525,1121.14,0.0002,-0.0176,0.51857,0.14423
1714,2019-04-30,1107.22,1114.83,1106.88,1112.39,936000000.0,1109.16,1112.8,23.33,17.2,15.13,15.66,0.466,0.49,56.8,24.03,62.45,8.21,8.32,1114.83,1106.62,0.386,-0.0615,38.04,0.000396,-5.16e-06,63.15,0.0052,0.4001192,1120.43,0.00854,-0.0183,0.37521,0.87843
1715,2019-05-02,1115.35,1119.2,1114.16,1116.3,845000000.0,1110.14,1114.04,25.75,16.18,22.82,16.17,0.485,0.489,105.0,25.36,68.16,6.81,8.21,1119.2,1112.39,-0.151,-0.061,29.22,0.000347,2.86e-05,63.14,0.00351,0.3979226,1119.75,0.0171,-0.0179,0.23854,0.48324
1716,2019-05-03,1113.68,1118.65,1113.14,1116.18,893000000.0,1111.0,1115.05,24.48,16.29,20.09,16.45,0.493,0.49,92.1,21.1,67.57,5.51,8.02,1118.65,1113.14,0.103,-0.0129,21.62,-4.84e-05,4.32e-06,55.57,-0.000108,0.405956,1119.2,0.0256,-0.0167,0.24446,0.28191
1717,2019-05-07,1109.09,1113.37,1105.92,1108.83,1180000000.0,1111.06,1114.56,22.29,21.14,2.65,15.46,0.441,0.48,8.33,8.61,48.05,10.26,8.18,1116.18,1105.92,-0.219,-0.0288,8.79,-0.000395,-6.68e-05,55.64,-0.00661,0.3989944,1118.65,0.0338,-0.0147,0.6067,0.5485
1718,2019-05-08,1103.34,1104.89,1096.63,1098.65,1550000000.0,1110.1,1112.25,20.0,26.8,14.54,15.4,0.321,0.448,-115.0,0.14,32.28,12.2,8.47,1108.83,1096.63,-0.511,-0.0666,-14.04,-0.000473,-9.27e-05,53.15,-0.00922,0.4035598,1118.04,0.0412,-0.012,0.91758,1.73419
